Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,12.90,13.46,12.84,13.08,13.08,990600
2022-11-22,12.98,13.20,12.57,12.91,12.91,853500
2022-11-21,13.85,13.89,12.78,12.99,12.99,1050500
2022-11-18,14.32,14.32,13.74,14.02,14.02,1877200
2022-11-17,13.75,13.90,13.36,13.87,13.87,776100
2022-11-16,14.52,14.52,13.77,14.05,14.05,921200
2022-11-15,15.23,15.42,14.47,14.71,14.71,1204100
2022-11-14,14.95,15.22,13.79,14.61,14.61,1373900
2022-11-11,13.85,15.15,13.32,14.83,14.83,1652600
2022-11-10,12.65,13.93,12.44,13.53,13.53,2085500
2022-11-09,12.22,13.61,11.70,11.85,11.85,2172500
2022-11-08,12.66,12.69,11.86,12.30,12.30,1375700
2022-11-07,13.49,13.66,12.26,12.52,12.52,1261200
2022-11-04,14.06,14.22,13.10,13.37,13.37,1510100
2022-11-03,13.53,14.19,13.50,13.70,13.70,762900
2022-11-02,14.41,14.95,13.77,13.77,13.77,881200
2022-11-01,15.27,15.57,14.31,14.46,14.46,885500
2022-10-31,14.50,15.01,14.21,14.80,14.80,1003600
2022-10-28,14.43,14.69,13.78,14.47,14.47,880500
2022-10-27,15.00,15.15,14.35,14.44,14.44,743000
2022-10-26,14.47,15.67,14.33,14.91,14.91,1273100
2022-10-25,13.25,15.28,13.24,14.55,14.55,1849600
2022-10-24,13.63,13.64,12.66,13.29,13.29,1248700
2022-10-21,13.58,13.61,13.06,13.61,13.61,1161900
2022-10-20,13.92,14.42,13.59,13.65,13.65,788100
2022-10-19,14.41,14.59,13.68,13.92,13.92,795300
2022-10-18,15.21,15.38,14.35,14.63,14.63,705700
2022-10-17,14.63,15.21,14.51,14.53,14.53,828300
2022-10-14,15.46,15.75,14.24,14.36,14.36,970900
2022-10-13,14.01,15.85,13.53,15.46,15.46,1537900
2022-10-12,14.85,14.97,14.16,14.59,14.59,673700
2022-10-11,14.87,15.27,14.36,14.83,14.83,904900
