Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,11.61,12.07,11.54,11.97,11.97,5320400
2022-11-22,11.74,11.94,11.28,11.49,11.49,11963800
2022-11-21,12.30,12.32,11.53,11.71,11.71,7667000
2022-11-18,12.85,12.93,12.18,12.45,12.45,5596700
2022-11-17,12.60,12.69,12.22,12.59,12.59,6061500
2022-11-16,13.39,13.41,12.57,12.88,12.88,7818800
2022-11-15,13.95,14.15,13.50,13.68,13.68,8176400
2022-11-14,13.31,13.45,12.42,13.30,13.30,8161100
2022-11-11,12.59,13.61,12.35,13.38,13.38,9646200
2022-11-10,12.03,12.84,11.98,12.50,12.50,10533900
2022-11-09,12.03,12.20,11.15,11.23,11.23,8605100
2022-11-08,12.10,12.42,11.58,12.19,12.19,7041300
2022-11-07,12.77,12.86,11.36,11.93,11.93,12173300
2022-11-04,13.30,13.49,12.20,12.56,12.56,7736700
2022-11-03,12.91,13.47,12.63,13.04,13.04,5229000
2022-11-02,14.10,14.19,12.97,13.05,13.05,6989000
2022-11-01,14.43,14.62,13.90,14.10,14.10,5396000
2022-10-31,13.56,14.09,13.39,13.98,13.98,5470600
2022-10-28,13.61,13.82,13.06,13.52,13.52,4855400
2022-10-27,13.86,13.99,13.42,13.66,13.66,5658800
2022-10-26,13.35,14.23,13.23,13.71,13.71,8165700
2022-10-25,12.50,13.54,12.46,13.34,13.34,8307200
2022-10-24,12.68,12.72,11.78,12.42,12.42,7451200
2022-10-21,12.30,12.70,11.96,12.65,12.65,7209300
2022-10-20,12.85,13.24,12.27,12.36,12.36,8317800
2022-10-19,13.38,13.40,12.75,12.99,12.99,7928500
2022-10-18,13.53,13.80,13.31,13.68,13.68,7312300
2022-10-17,13.13,13.44,12.92,13.07,13.07,6754900
2022-10-14,13.61,13.95,12.55,12.59,12.59,8294800
2022-10-13,12.86,13.65,12.45,13.50,13.50,7989900
2022-10-12,13.79,13.87,13.08,13.39,13.39,6036600
2022-10-11,13.54,13.92,12.95,13.71,13.71,7567000
2022-10-10,14.44,14.45,13.50,13.76,13.76,8701600
2022-10-07,15.16,15.24,14.13,14.43,14.43,8941100
2022-10-06,15.57,16.31,15.34,15.61,15.61,7074700
2022-10-05,15.91,16.12,15.07,15.64,15.64,7777900
2022-10-04,15.75,16.60,15.63,16.31,16.31,9529800
2022-10-03,14.96,15.27,14.37,15.05,15.05,7126100
2022-09-30,14.79,15.46,14.55,14.76,14.76,6522400
2022-09-29,15.51,15.86,14.38,14.93,14.93,8244900
2022-09-28,15.16,15.93,15.02,15.83,15.83,8567200
2022-09-27,14.87,15.74,14.87,15.22,15.22,10120500
2022-09-26,14.69,15.34,14.44,14.51,14.51,6564700
2022-09-23,14.97,15.25,14.35,14.75,14.75,9342300
2022-09-22,16.13,16.30,15.02,15.34,15.34,9676700
2022-09-21,16.07,17.09,15.70,16.21,16.21,9359500
2022-09-20,17.56,17.67,16.39,16.44,16.44,8800600
2022-09-19,17.59,18.25,17.47,17.75,17.75,7786900
2022-09-16,18.48,18.82,17.95,17.97,17.97,19202500
2022-09-15,18.34,19.92,18.02,19.25,19.25,25022000
2022-09-14,17.71,18.19,17.15,18.18,18.18,10303400
2022-09-13,16.88,18.11,16.63,17.54,17.54,10091500
2022-09-12,17.82,18.30,17.31,18.28,18.28,8842000
2022-09-09,17.37,17.78,17.17,17.68,17.68,10493300
2022-09-08,15.73,17.26,15.67,17.25,17.25,12599700
2022-09-07,14.91,16.29,14.76,16.08,16.08,14298100
2022-09-06,14.55,15.25,14.22,14.75,14.75,12066500
