Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,10.24,10.35,10.05,10.25,10.25,18434900
2022-11-22,10.39,10.39,9.98,10.13,10.13,23082800
2022-11-21,11.11,11.11,10.25,10.31,10.31,32052700
2022-11-18,11.58,11.66,11.09,11.26,11.26,14706800
2022-11-17,11.24,11.49,11.03,11.46,11.46,18377400
2022-11-16,12.30,12.30,11.32,11.37,11.37,23032400
2022-11-15,12.72,12.82,12.30,12.36,12.36,21745000
2022-11-14,12.88,12.96,12.10,12.21,12.21,18403800
2022-11-11,12.13,13.18,12.07,12.91,12.91,29140800
2022-11-10,12.01,12.34,11.37,12.11,12.11,42963100
2022-11-09,12.49,12.53,10.89,11.21,11.21,52598500
2022-11-08,13.91,14.04,13.07,13.50,13.50,23031500
2022-11-07,14.05,14.20,13.20,13.85,13.85,16368000
2022-11-04,14.04,14.34,13.30,13.89,13.89,19197500
2022-11-03,13.23,14.07,13.15,13.64,13.64,10715300
2022-11-02,13.67,14.35,13.31,13.34,13.34,14289000
2022-11-01,14.67,14.84,13.60,13.62,13.62,14636500
2022-10-31,14.16,14.68,14.05,14.29,14.29,24662300
2022-10-28,13.79,14.30,13.65,14.23,14.23,12837100
2022-10-27,14.05,14.38,13.68,13.79,13.79,11174000
2022-10-26,13.74,14.52,13.62,13.91,13.91,15071200
2022-10-25,12.90,14.17,12.90,13.92,13.92,22487600
2022-10-24,13.17,13.18,12.53,12.80,12.80,14457700
2022-10-21,12.46,13.42,12.28,13.31,13.31,17222200
2022-10-20,12.71,13.10,12.36,12.60,12.60,17586500
2022-10-19,12.85,12.93,12.45,12.64,12.64,11700900
2022-10-18,12.92,13.16,12.52,13.01,13.01,16688500
2022-10-17,12.35,12.92,12.34,12.41,12.41,18897300
2022-10-14,13.18,13.22,11.87,11.89,11.89,23536700
2022-10-13,12.74,13.24,12.38,13.01,13.01,20889200
2022-10-12,13.25,13.50,12.61,13.09,13.09,23191800
2022-10-11,12.43,13.22,12.20,12.65,12.65,22025100
2022-10-10,13.23,13.26,12.29,12.48,12.48,20767800
2022-10-07,14.06,14.18,13.12,13.17,13.17,21772500
2022-10-06,15.02,15.30,14.31,14.41,14.41,13163700
2022-10-05,14.96,15.17,14.51,14.99,14.99,11615300
2022-10-04,14.51,15.68,14.51,15.40,15.40,22799900
2022-10-03,14.00,14.22,13.52,14.09,14.09,19230900
2022-09-30,14.05,14.44,13.87,13.97,13.97,12259300
2022-09-29,14.98,15.00,13.99,14.19,14.19,14253500
2022-09-28,14.52,15.32,14.35,15.22,15.22,15089800
2022-09-27,14.81,15.18,14.15,14.41,14.41,20173200
2022-09-26,14.05,14.65,13.95,14.06,14.06,11486300
2022-09-23,14.17,14.25,13.58,14.03,14.03,18635800
2022-09-22,15.45,15.58,14.12,14.31,14.31,20375900
2022-09-21,15.39,16.16,15.28,15.56,15.56,16880000
2022-09-20,15.82,15.95,15.23,15.34,15.34,12585600
2022-09-19,16.06,16.41,15.44,15.94,15.94,18925100
2022-09-16,16.13,17.69,16.08,16.18,16.18,50642800
2022-09-15,16.40,17.33,16.34,16.49,16.49,19007500
2022-09-14,16.02,16.88,15.98,16.63,16.63,21932200
2022-09-13,15.81,16.68,15.64,16.10,16.10,21307200
2022-09-12,15.45,16.60,15.31,16.55,16.55,24276500
2022-09-09,15.00,15.42,14.93,15.08,15.08,17971300
2022-09-08,14.46,14.99,14.39,14.99,14.99,11854400
2022-09-07,14.46,14.75,13.86,14.70,14.70,17388200
2022-09-06,15.04,15.13,14.58,14.61,14.61,17263300
2022-09-02,15.47,15.63,14.99,15.16,15.16,13695300
2022-09-01,15.21,15.40,14.79,15.38,15.38,13605600
2022-08-31,15.32,15.52,14.96,15.34,15.34,13917200
2022-08-30,15.80,15.85,14.89,15.15,15.15,27308600
2022-08-29,16.09,16.45,15.86,16.17,16.17,8469300
2022-08-26,17.10,17.28,16.21,16.24,16.24,13160300
2022-08-25,16.70,17.23,16.58,16.98,16.98,10480900
2022-08-24,16.25,16.84,15.95,16.44,16.44,11934800
2022-08-23,16.26,16.44,15.95,15.98,15.98,11651100
2022-08-22,16.77,16.77,16.03,16.10,16.10,15375300
2022-08-19,17.98,17.99,16.69,16.75,16.75,26005800
2022-08-18,18.58,18.60,18.01,18.23,18.23,10206400
2022-08-17,18.66,18.79,18.15,18.46,18.46,11017300
2022-08-16,18.62,19.16,18.18,18.93,18.93,12979600
2022-08-15,18.36,19.08,18.31,18.76,18.76,10488300
2022-08-12,18.25,18.71,17.83,18.66,18.66,13906200
2022-08-11,18.39,18.92,18.02,18.09,18.09,19662500
2022-08-10,18.07,18.34,17.51,18.22,18.22,19041300
2022-08-09,18.52,18.53,17.13,17.46,17.46,23944600
2022-08-08,18.18,19.71,18.08,18.72,18.72,21703000
2022-08-05,18.40,18.60,17.92,18.05,18.05,16542600
2022-08-04,18.04,18.86,18.00,18.56,18.56,37355200
2022-08-03,19.82,20.62,19.53,20.56,20.56,29292200
2022-08-02,18.22,19.99,17.82,19.73,19.73,20507400
2022-08-01,18.21,18.69,17.77,18.53,18.53,15465800
2022-07-29,18.00,18.29,17.88,18.25,18.25,16504000
2022-07-28,18.74,19.02,17.77,18.24,18.24,16839400
2022-07-27,18.44,18.59,17.87,18.43,18.43,15566000
2022-07-26,18.48,18.57,17.89,18.09,18.09,11087900
2022-07-25,19.78,19.90,18.64,18.74,18.74,11624200
2022-07-22,21.45,21.45,19.54,19.68,19.68,14026800
2022-07-21,21.14,21.78,20.78,21.48,21.48,15841800
2022-07-20,20.36,21.34,20.36,21.27,21.27,15250100
2022-07-19,20.49,20.55,19.86,20.38,20.38,11280300
2022-07-18,20.07,21.08,19.86,19.96,19.96,17273800
2022-07-15,20.12,20.29,19.21,19.68,19.68,13949500
2022-07-14,19.44,20.15,18.96,20.11,20.11,12948500
2022-07-13,18.65,19.75,18.55,19.51,19.51,12273100
2022-07-12,18.74,19.46,18.25,19.33,19.33,12437500
2022-07-11,19.92,20.02,18.50,18.53,18.53,11665000
2022-07-08,19.44,20.61,19.32,19.99,19.99,24362100
2022-07-07,18.29,19.88,18.06,19.81,19.81,19510400
2022-07-06,17.35,18.51,17.31,18.22,18.22,21390600
