Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,17.20,17.83,16.97,17.33,17.33,7361000
2022-11-22,16.91,17.06,16.25,16.73,16.73,9794200
2022-11-21,17.46,17.58,16.78,17.57,17.57,5878400
2022-11-18,18.09,18.19,17.65,17.88,17.88,5713000
2022-11-17,17.23,18.39,16.96,18.36,18.36,10994700
2022-11-16,18.45,18.61,17.56,17.77,17.77,8232800
2022-11-15,19.05,19.63,18.73,18.94,18.94,12150100
2022-11-14,18.84,19.49,17.96,17.96,17.96,10693000
2022-11-11,18.23,19.41,17.65,18.97,18.97,14209200
2022-11-10,18.02,18.34,17.07,17.41,17.41,14257600
2022-11-09,17.42,17.80,16.09,16.18,16.18,15431800
2022-11-08,17.58,18.53,17.40,18.47,18.47,9945300
2022-11-07,19.05,19.39,18.05,18.16,18.16,13579600
2022-11-04,18.90,19.21,17.67,18.31,18.31,21830500
2022-11-03,15.92,17.37,15.88,16.75,16.75,18659300
2022-11-02,15.51,17.09,15.37,16.32,16.32,38737400
2022-11-01,15.02,15.15,13.97,14.56,14.56,21373900
2022-10-31,13.86,14.18,13.09,13.62,13.62,14726000
2022-10-28,13.93,14.51,13.75,14.26,14.26,12295500
2022-10-27,15.32,15.37,14.64,14.98,14.98,14480700
2022-10-26,15.87,16.57,15.58,16.27,16.27,12788700
2022-10-25,15.37,16.35,15.15,15.90,15.90,20487800
2022-10-24,16.11,16.11,12.52,14.68,14.68,37180000
2022-10-21,16.90,17.89,16.61,17.77,17.77,7584900
2022-10-20,17.28,17.76,17.15,17.30,17.30,12257400
2022-10-19,18.18,18.18,16.54,16.80,16.80,14375000
2022-10-18,19.45,19.69,18.84,18.92,18.92,6084200
2022-10-17,19.20,19.41,18.51,18.95,18.95,11704300
2022-10-14,20.05,20.25,18.65,18.72,18.72,7806500
2022-10-13,19.26,20.27,19.09,20.04,20.04,9120300
2022-10-12,20.48,21.18,19.92,20.39,20.39,12027400
2022-10-11,19.42,20.49,18.46,19.68,19.68,19374400
2022-10-10,19.62,19.62,18.43,19.00,19.00,10804900
2022-10-07,20.45,20.47,19.33,19.57,19.57,15467900
2022-10-06,23.87,24.02,20.68,20.95,20.95,25644800
2022-10-05,24.65,24.98,23.50,23.90,23.90,7187500
2022-10-04,24.39,25.43,24.31,24.60,24.60,6633500
2022-10-03,23.31,23.97,22.82,23.46,23.46,5965500
2022-09-30,22.54,23.58,22.20,23.01,23.01,5967900
2022-09-29,24.05,24.26,22.80,23.37,23.37,7719000
2022-09-28,24.67,25.60,24.33,24.90,24.90,9842400
2022-09-27,26.63,27.00,25.54,25.72,25.72,9713200
2022-09-26,25.20,27.10,25.10,26.39,26.39,15885100
2022-09-23,23.89,25.10,23.67,25.00,25.00,13284400
2022-09-22,24.41,25.40,24.17,24.23,24.23,18113000
2022-09-21,24.32,24.69,22.90,23.10,23.10,9474800
2022-09-20,25.50,25.74,25.07,25.34,25.34,5202900
2022-09-19,23.85,25.30,23.74,25.23,25.23,7162700
