Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,10.31,10.74,10.24,10.56,10.56,49182500
2022-11-22,9.87,10.10,9.75,10.01,10.01,36096300
2022-11-21,10.22,10.25,9.67,10.02,10.02,53072100
2022-11-18,10.65,10.81,10.26,10.47,10.47,49187700
2022-11-17,10.25,10.72,9.93,10.67,10.67,62563500
2022-11-16,11.17,11.29,10.45,10.53,10.53,49624900
2022-11-15,11.91,11.95,11.36,11.51,11.51,63244200
2022-11-14,11.86,12.12,11.17,11.17,11.17,62563000
2022-11-11,10.79,11.69,10.54,11.56,11.56,100338000
2022-11-10,10.30,10.83,10.05,10.34,10.34,84026800
2022-11-09,10.00,10.18,9.14,9.25,9.25,81211800
2022-11-08,10.68,10.87,10.08,10.56,10.56,61734900
2022-11-07,12.23,12.38,10.70,10.98,10.98,84143600
2022-11-04,11.00,11.69,10.60,11.68,11.68,125111800
2022-11-03,9.19,10.17,9.03,9.94,9.94,64660300
2022-11-02,9.60,10.13,9.48,9.49,9.49,76033400
2022-11-01,10.33,10.45,9.69,9.71,9.71,56233200
2022-10-31,9.51,10.05,9.38,9.67,9.67,46879600
2022-10-28,9.50,9.98,9.28,9.69,9.69,74420600
2022-10-27,10.53,10.73,9.97,9.98,9.98,64014700
2022-10-26,10.44,11.09,10.23,10.81,10.81,79102800
2022-10-25,9.81,10.63,9.53,10.63,10.63,98189000
2022-10-24,10.01,10.03,8.38,9.45,9.45,166523700
2022-10-21,10.67,11.21,10.41,11.21,11.21,42496300
2022-10-20,11.03,11.43,10.88,10.97,10.97,47109300
2022-10-19,11.80,11.90,10.71,10.92,10.92,99014200
2022-10-18,13.08,13.22,12.09,12.21,12.21,58185400
2022-10-17,12.19,12.64,12.12,12.21,12.21,51097200
2022-10-14,12.99,13.18,11.73,11.75,11.75,59846600
2022-10-13,12.35,12.85,11.95,12.78,12.78,53451100
2022-10-12,12.93,13.46,12.48,12.88,12.88,50001300
2022-10-11,13.13,13.42,12.58,12.83,12.83,51761500
2022-10-10,13.66,13.73,13.02,13.28,13.28,48731700
2022-10-07,14.29,14.53,13.54,13.76,13.76,53268900
2022-10-06,16.00,16.24,14.76,14.77,14.77,67739000
2022-10-05,16.50,16.68,15.64,16.04,16.04,39737500
2022-10-04,16.17,16.88,15.95,16.73,16.73,45093600
2022-10-03,15.85,15.94,15.28,15.49,15.49,38423000
2022-09-30,15.21,16.15,15.20,15.77,15.77,39341300
2022-09-29,16.83,16.94,15.37,15.58,15.58,51517700
2022-09-28,16.80,17.46,16.66,17.33,17.33,37295600
2022-09-27,18.18,18.23,16.98,17.19,17.19,40675200
2022-09-26,17.77,18.40,17.53,17.62,17.62,42024500
2022-09-23,18.00,18.21,17.42,17.64,17.64,39484400
2022-09-22,18.51,19.18,18.09,18.35,18.35,36823100
2022-09-21,20.12,20.16,18.25,18.30,18.30,64553200
2022-09-20,20.70,20.95,20.21,20.41,20.41,29290000
2022-09-19,19.75,20.96,19.75,20.90,20.90,36244000
2022-09-16,21.10,21.35,19.96,20.15,20.15,65778700
2022-09-15,21.51,22.74,21.25,21.51,21.51,43787900
2022-09-14,21.47,22.09,21.03,21.94,21.94,47206700
