Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,5.75,5.86,5.58,5.82,5.82,965900
2022-11-22,5.71,5.82,5.61,5.70,5.70,1027500
2022-11-21,5.85,5.89,5.61,5.72,5.72,1141900
2022-11-18,6.25,6.29,5.83,5.86,5.86,942400
2022-11-17,6.22,6.22,5.87,6.04,6.04,942400
2022-11-16,6.73,6.84,6.36,6.45,6.45,777300
2022-11-15,7.24,7.61,6.76,6.81,6.81,1636900
2022-11-14,6.80,7.70,6.72,7.30,7.30,3084000
2022-11-11,6.26,6.95,6.18,6.88,6.88,1428300
2022-11-10,6.09,6.35,6.02,6.30,6.30,1428800
2022-11-09,5.84,5.93,5.67,5.71,5.71,1061900
2022-11-08,6.16,6.16,5.80,5.96,5.96,759700
2022-11-07,6.21,6.37,6.13,6.15,6.15,1213100
2022-11-04,5.82,6.20,5.75,6.20,6.20,1386900
2022-11-03,6.11,6.30,5.62,5.63,5.63,1159300
2022-11-02,6.24,6.26,5.85,5.87,5.87,1456400
2022-11-01,6.38,6.50,6.20,6.34,6.34,1276400
2022-10-31,5.90,6.28,5.81,6.24,6.24,1103900
2022-10-28,5.77,5.92,5.56,5.90,5.90,1051800
2022-10-27,5.76,5.85,5.62,5.74,5.74,874000
2022-10-26,5.49,5.78,5.41,5.68,5.68,912600
2022-10-25,5.25,5.58,5.24,5.49,5.49,896500
2022-10-24,5.05,5.36,4.95,5.25,5.25,924400
2022-10-21,5.10,5.14,4.82,5.10,5.10,988400
2022-10-20,4.96,5.36,4.85,5.09,5.09,981500
2022-10-19,5.00,5.05,4.78,4.90,4.90,709200
2022-10-18,5.13,5.30,5.02,5.12,5.12,832900
2022-10-17,4.79,5.05,4.76,4.97,4.97,1145200
2022-10-14,4.85,4.89,4.53,4.54,4.54,745400
2022-10-13,4.50,4.80,4.41,4.79,4.79,1076600
2022-10-12,4.92,4.93,4.67,4.68,4.68,1126700
2022-10-11,4.98,5.06,4.75,4.93,4.93,940200
2022-10-10,5.26,5.27,4.88,5.01,5.01,1012400
2022-10-07,5.33,5.37,5.20,5.25,5.25,1003300
2022-10-06,5.55,5.69,5.42,5.44,5.44,797000
2022-10-05,5.64,5.79,5.58,5.60,5.60,1023800
2022-10-04,5.37,5.90,5.37,5.78,5.78,1362400
2022-10-03,5.04,5.22,4.85,5.19,5.19,1154400
2022-09-30,5.29,5.35,4.97,4.98,4.98,1184900
2022-09-29,5.17,5.36,5.07,5.34,5.34,1437500
2022-09-28,4.85,5.16,4.79,5.14,5.14,1107400
2022-09-27,4.93,4.98,4.79,4.86,4.86,761700
2022-09-26,4.83,5.05,4.80,4.88,4.88,1313400
2022-09-23,4.91,4.94,4.72,4.83,4.83,1085000
2022-09-22,5.25,5.27,4.98,5.02,5.02,886600
2022-09-21,5.26,5.45,5.15,5.30,5.30,765000
2022-09-20,5.40,5.46,5.18,5.23,5.23,923600
2022-09-19,5.60,5.70,5.41,5.47,5.47,1234600
2022-09-16,5.77,5.84,5.66,5.69,5.69,1644200
2022-09-15,6.01,6.11,5.84,5.91,5.91,1133900
2022-09-14,6.04,6.14,5.89,6.10,6.10,930700
2022-09-13,6.03,6.22,5.99,6.04,6.04,982300
2022-09-12,6.22,6.36,6.11,6.29,6.29,722800
2022-09-09,6.09,6.19,6.08,6.17,6.17,606700
2022-09-08,6.09,6.18,5.94,6.01,6.01,897000
2022-09-07,5.96,6.23,5.95,6.19,6.19,849900
2022-09-06,5.88,6.10,5.87,5.96,5.96,1137700
2022-09-02,6.09,6.12,5.78,5.82,5.82,1143700
2022-09-01,5.95,6.05,5.86,6.04,6.04,1772700
2022-08-31,6.03,6.13,5.92,6.04,6.04,1152300
2022-08-30,6.20,6.22,5.96,6.02,6.02,916700
2022-08-29,5.98,6.20,5.93,6.14,6.14,711600
2022-08-26,6.45,6.49,6.07,6.10,6.10,1103800
2022-08-25,6.42,6.56,6.32,6.44,6.44,933300
2022-08-24,6.31,6.40,6.26,6.30,6.30,974900
2022-08-23,6.31,6.47,6.15,6.25,6.25,1171800
2022-08-22,6.20,6.31,6.14,6.28,6.28,1902400
2022-08-19,6.45,6.45,6.29,6.36,6.36,977800
2022-08-18,6.54,6.78,6.47,6.69,6.69,1621500
2022-08-17,6.69,6.72,6.42,6.55,6.55,1120200
2022-08-16,6.79,6.89,6.67,6.81,6.81,899900
2022-08-15,6.88,7.03,6.67,6.84,6.84,1526900
2022-08-12,6.78,7.01,6.66,6.97,6.97,1344600
2022-08-11,6.86,6.89,6.64,6.69,6.69,918700
2022-08-10,6.70,6.81,6.59,6.72,6.72,1103300
2022-08-09,6.42,6.51,6.30,6.40,6.40,1263800
2022-08-08,6.59,6.74,6.49,6.65,6.65,1787500
2022-08-05,5.80,6.49,5.73,6.48,6.48,2234500
2022-08-04,5.87,6.11,5.78,5.90,5.90,1447000
2022-08-03,5.72,6.06,5.69,5.85,5.85,3039900
2022-08-02,5.10,5.74,5.02,5.58,5.58,2207000
2022-08-01,5.37,5.37,5.08,5.20,5.20,1339700
2022-07-29,5.09,5.42,4.95,5.39,5.39,1513700
2022-07-28,4.76,5.19,4.76,5.15,5.15,1906200
2022-07-27,4.59,4.72,4.49,4.68,4.68,1148200
2022-07-26,4.63,4.65,4.47,4.50,4.50,1310800
2022-07-25,4.74,4.75,4.56,4.69,4.69,1094100
2022-07-22,5.21,5.21,4.70,4.74,4.74,1108100
2022-07-21,5.17,5.20,5.01,5.19,5.19,1056500
2022-07-20,4.79,5.27,4.78,5.22,5.22,1686300
2022-07-19,4.70,4.81,4.64,4.79,4.79,934800
2022-07-18,4.70,4.82,4.54,4.59,4.59,1480800
2022-07-15,4.66,4.66,4.36,4.62,4.62,1220900
2022-07-14,4.58,4.61,4.32,4.54,4.54,1171600
2022-07-13,4.47,4.68,4.43,4.65,4.65,1164400
2022-07-12,4.58,4.68,4.50,4.61,4.61,1698700
2022-07-11,5.13,5.19,4.48,4.50,4.50,1666600
2022-07-08,5.05,5.32,4.97,5.16,5.16,1719600
2022-07-07,4.85,5.12,4.80,5.11,5.11,1572200
2022-07-06,4.75,4.84,4.69,4.79,4.79,1384000
