Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,29.27,30.18,28.95,29.71,29.71,9496000
2022-11-22,28.58,29.47,27.85,28.94,28.94,10770200
2022-11-21,29.68,30.15,28.40,28.42,28.42,13508600
2022-11-18,32.65,32.69,29.81,30.34,30.34,13102200
2022-11-17,32.24,32.76,31.71,32.07,32.07,7890900
2022-11-16,34.35,34.49,32.85,33.32,33.32,10069200
2022-11-15,34.44,35.74,33.92,35.15,35.15,19268200
2022-11-14,34.39,35.15,33.20,34.38,34.38,12608900
2022-11-11,33.19,34.98,31.92,34.90,34.90,21022000
2022-11-10,32.88,33.52,31.13,32.96,32.96,29299900
2022-11-09,31.03,31.15,27.36,28.07,28.07,28081300
2022-11-08,31.45,32.84,30.35,31.85,31.85,11768900
2022-11-07,32.56,32.93,31.01,31.32,31.32,7414000
2022-11-04,33.43,33.50,31.10,31.99,31.99,8151400
2022-11-03,31.28,33.55,31.01,32.24,32.24,8075400
2022-11-02,33.51,33.76,31.46,31.52,31.52,10788300
2022-11-01,36.15,36.45,33.38,33.48,33.48,10366100
2022-10-31,34.28,35.99,33.97,34.97,34.97,23372500
2022-10-28,34.36,35.07,34.10,34.48,34.48,8410900
2022-10-27,34.37,35.22,33.90,34.50,34.50,8968100
2022-10-26,34.00,35.85,33.90,34.44,34.44,11335900
2022-10-25,31.33,34.75,31.33,34.49,34.49,18931400
2022-10-24,31.45,31.79,29.45,31.34,31.34,11197700
2022-10-21,30.39,32.00,30.09,31.92,31.92,9941800
2022-10-20,31.10,32.16,30.37,30.73,30.73,10633200
2022-10-19,30.91,31.76,30.57,31.50,31.50,10644900
2022-10-18,32.10,32.31,30.99,31.64,31.64,13668100
2022-10-17,29.81,30.84,29.40,30.70,30.70,14050600
2022-10-14,33.06,33.25,28.61,28.71,28.71,22520600
2022-10-13,30.95,33.18,30.33,32.50,32.50,16135000
2022-10-12,32.67,32.98,31.57,32.35,32.35,14040200
2022-10-11,31.45,33.69,30.81,32.33,32.33,20802800
2022-10-10,32.00,32.35,30.16,31.48,31.48,26171500
2022-10-07,35.71,36.01,33.01,33.95,33.95,22803600
2022-10-06,36.48,37.39,35.28,36.76,36.76,17266500
2022-10-05,36.17,36.23,34.65,36.13,36.13,15778900
2022-10-04,34.17,36.38,33.80,36.30,36.30,29058700
2022-10-03,32.72,32.85,31.01,31.89,31.89,13778400
2022-09-30,31.75,34.13,31.64,32.91,32.91,12381000
2022-09-29,35.34,35.76,32.14,32.31,32.31,16987900
2022-09-28,33.86,35.25,33.55,35.08,35.08,11277400
2022-09-27,34.92,35.17,33.18,33.79,33.79,11482000
2022-09-26,33.42,35.05,33.18,33.85,33.85,11315900
2022-09-23,32.71,33.58,31.77,33.56,33.56,16238500
2022-09-22,34.76,35.18,33.10,33.33,33.33,13544200
2022-09-21,35.65,36.67,34.84,35.10,35.10,13975000
2022-09-20,37.71,38.34,35.73,35.75,35.75,17513200
2022-09-19,38.82,38.89,37.01,37.94,37.94,18345500
2022-09-16,38.81,39.81,38.17,39.26,39.26,70434800
2022-09-15,39.80,40.86,38.89,39.69,39.69,24202000
2022-09-14,38.30,40.35,37.77,40.10,40.10,24685800
2022-09-13,37.02,39.57,36.85,38.76,38.76,24593700
2022-09-12,37.82,38.99,37.75,38.74,38.74,20863000
2022-09-09,36.28,37.88,35.21,37.55,37.55,27096200
2022-09-08,35.24,36.90,34.60,36.88,36.88,44772000
2022-09-07,33.28,34.40,32.70,33.25,33.25,15105300
2022-09-06,32.39,34.99,32.02,33.22,33.22,24795700
2022-09-02,32.21,32.56,30.90,32.07,32.07,8869500
2022-09-01,32.28,32.43,30.71,31.95,31.95,10468500
2022-08-31,32.55,33.14,31.76,32.71,32.71,19332800
2022-08-30,32.74,33.04,31.44,31.89,31.89,8541000
2022-08-29,31.60,33.26,31.55,32.31,32.31,8517300
2022-08-26,32.82,33.86,31.44,32.11,32.11,10728700
2022-08-25,32.89,33.37,32.58,32.90,32.90,8968400
2022-08-24,32.47,33.72,32.43,32.56,32.56,9434100
2022-08-23,33.18,33.59,31.97,32.21,32.21,9766800
2022-08-22,33.25,34.06,32.90,33.06,33.06,11006300
2022-08-19,34.96,35.08,33.77,34.45,34.45,10999200
2022-08-18,36.46,36.70,35.01,35.90,35.90,8882200
2022-08-17,37.65,38.13,36.26,36.42,36.42,11716100
2022-08-16,36.96,38.65,35.85,38.23,38.23,17280500
2022-08-15,37.24,39.29,36.46,37.28,37.28,21310400
2022-08-12,39.73,40.56,37.30,38.90,38.90,39044000
2022-08-11,38.60,39.95,37.75,38.95,38.95,35949100
2022-08-10,38.19,38.26,36.77,37.40,37.40,15370300
2022-08-09,37.74,38.09,36.28,36.70,36.70,12904500
2022-08-08,36.56,39.29,36.06,38.09,38.09,16294800
2022-08-05,36.09,36.31,35.10,35.67,35.67,12314100
2022-08-04,36.00,37.29,35.62,36.18,36.18,12410200
2022-08-03,35.44,36.79,34.48,36.59,36.59,14243800
2022-08-02,34.18,35.56,34.00,35.01,35.01,13829400
2022-08-01,34.30,35.48,33.83,34.81,34.81,12399100
2022-07-29,33.28,34.37,32.94,34.30,34.30,12381200
2022-07-28,32.80,33.91,31.90,33.85,33.85,11384200
2022-07-27,32.17,32.37,31.01,32.01,32.01,10371200
2022-07-26,31.33,31.82,30.86,31.69,31.69,7838700
2022-07-25,32.70,32.82,31.20,32.17,32.17,9878500
2022-07-22,35.12,35.41,32.00,32.48,32.48,16935800
2022-07-21,32.78,34.75,32.70,34.13,34.13,24446800
2022-07-20,31.89,33.30,31.79,32.74,32.74,17831400
2022-07-19,32.22,32.74,31.58,31.71,31.71,16245000
2022-07-18,32.45,33.58,31.70,31.80,31.80,13577000
2022-07-15,31.05,31.63,29.91,31.60,31.60,13762700
2022-07-14,30.54,30.96,29.40,30.83,30.83,10947200
2022-07-13,29.50,31.37,29.31,30.76,30.76,12542900
2022-07-12,29.73,30.59,28.95,30.15,30.15,15862000
2022-07-11,32.35,32.70,29.47,29.93,29.93,18678900
2022-07-08,31.42,33.20,30.56,31.99,31.99,20009700
2022-07-07,30.00,31.77,29.66,31.63,31.63,25560900
2022-07-06,28.00,30.60,28.00,29.66,29.66,36729400
