Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,173.57,183.62,172.50,183.20,183.20,109191900
2022-11-22,168.63,170.92,166.19,169.91,169.91,78452300
2022-11-21,175.85,176.77,167.54,167.87,167.87,92882700
2022-11-18,185.05,185.19,176.55,180.19,180.19,75904900
2022-11-17,183.96,186.16,180.90,183.17,183.17,64336000
2022-11-16,191.51,192.57,185.66,186.92,186.92,66567600
2022-11-15,195.88,200.82,192.06,194.42,194.42,91293800
2022-11-14,192.77,195.73,186.34,190.95,190.95,92226600
2022-11-11,186.00,196.52,182.59,195.97,195.97,114229200
2022-11-10,189.90,191.00,180.03,190.72,190.72,132703000
2022-11-09,190.78,195.89,177.12,177.59,177.59,127062700
2022-11-08,194.02,195.20,186.75,191.30,191.30,128803400
2022-11-07,208.65,208.90,196.66,197.08,197.08,93916500
2022-11-04,222.60,223.80,203.08,207.47,207.47,98453100
2022-11-03,211.36,221.20,210.14,215.31,215.31,56538800
2022-11-02,226.04,227.87,214.82,214.98,214.98,63070300
2022-11-01,234.05,237.40,227.28,227.82,227.82,62688800
2022-10-31,226.19,229.85,221.94,227.54,227.54,61554300
2022-10-28,225.40,228.86,216.35,228.52,228.52,69152400
2022-10-27,229.77,233.81,222.85,225.09,225.09,61638800
2022-10-26,219.40,230.60,218.20,224.64,224.64,85012500
2022-10-25,210.10,224.35,210.00,222.42,222.42,96507900
2022-10-24,205.82,213.50,198.59,211.25,211.25,100446800
2022-10-21,206.42,214.66,203.80,214.44,214.44,75713800
2022-10-20,208.28,215.55,202.00,207.28,207.28,117798100
2022-10-19,219.80,222.93,217.78,222.04,222.04,66571500
2022-10-18,229.50,229.82,217.25,220.19,220.19,75891900
2022-10-17,210.04,221.86,209.45,219.35,219.35,79428800
2022-10-14,224.01,226.26,204.16,204.99,204.99,94124500
2022-10-13,208.30,222.99,206.22,221.72,221.72,91483000
2022-10-12,215.33,219.30,211.51,217.24,217.24,66860700
2022-10-11,220.95,225.75,215.00,216.50,216.50,77013200
2022-10-10,223.93,226.99,218.36,222.96,222.96,67925000
2022-10-07,233.94,234.57,222.02,223.07,223.07,83916800
2022-10-06,239.44,244.58,235.35,238.13,238.13,69298400
2022-10-05,245.01,246.67,233.27,240.81,240.81,86982700
2022-10-04,250.52,257.50,242.01,249.44,249.44,109578500
2022-10-03,254.50,255.16,241.01,242.40,242.40,98363500
2022-09-30,266.15,275.57,262.47,265.25,265.25,67726600
2022-09-29,282.76,283.65,265.78,268.21,268.21,77620600
2022-09-28,283.08,289.00,277.57,287.81,287.81,54664800
2022-09-27,283.84,288.67,277.51,282.94,282.94,61925200
2022-09-26,271.83,284.09,270.31,276.01,276.01,58076900
2022-09-23,283.09,284.50,272.82,275.33,275.33,63748400
2022-09-22,299.86,301.29,285.82,288.59,288.59,70545400
2022-09-21,308.29,313.80,300.63,300.80,300.80,62555700
2022-09-20,306.91,313.33,305.58,308.73,308.73,61642800
2022-09-19,300.09,309.84,297.80,309.07,309.07,60231200
2022-09-16,299.61,303.71,295.60,303.35,303.35,87087800
2022-09-15,301.83,309.12,300.72,303.75,303.75,64795500
2022-09-14,292.24,306.00,291.64,302.61,302.61,72628700
2022-09-13,292.90,297.40,290.40,292.13,292.13,68229600
2022-09-12,300.72,305.49,300.40,304.42,304.42,48674600
2022-09-09,291.67,299.85,291.25,299.68,299.68,54338100
2022-09-08,281.30,289.50,279.76,289.26,289.26,53713100
2022-09-07,273.10,283.84,272.27,283.70,283.70,50028900
2022-09-06,272.68,275.99,265.74,274.42,274.42,55860000
2022-09-02,281.07,282.35,269.08,270.21,270.21,50890100
2022-09-01,272.58,277.58,266.15,277.16,277.16,54287000
2022-08-31,280.62,281.25,271.81,275.61,275.61,52107300
2022-08-30,287.87,288.48,272.65,277.70,277.70,50541800
2022-08-29,282.83,287.74,280.70,284.82,284.82,41864700
2022-08-26,297.43,302.00,287.47,288.09,288.09,57163900
2022-08-25,302.36,302.96,291.60,296.07,296.07,53230000
2022-08-24,297.56,303.65,296.50,297.10,297.10,57259800
2022-08-23,291.45,298.83,287.92,296.45,296.45,63984900
2022-08-22,291.91,292.40,286.30,289.91,289.91,55843200
2022-08-19,299.00,300.36,292.50,296.67,296.67,61395300
2022-08-18,306.00,306.50,301.85,302.87,302.87,47500500
2022-08-17,303.40,309.66,300.03,304.00,304.00,68766000
2022-08-16,311.67,314.67,302.88,306.56,306.56,88136400
2022-08-15,301.79,313.13,301.23,309.32,309.32,89359200
2022-08-12,289.42,300.16,285.03,300.03,300.03,79657200
2022-08-11,296.51,298.24,285.83,286.63,286.63,70155000
2022-08-10,297.07,297.51,283.37,294.36,294.36,94918800
2022-08-09,290.29,292.40,279.35,283.33,283.33,86244600
2022-08-08,295.00,305.20,289.09,290.42,290.42,98994000
2022-08-05,302.67,304.61,285.54,288.17,288.17,113172900
2022-08-04,311.00,313.61,305.00,308.63,308.63,72256200
2022-08-03,305.00,309.55,301.15,307.40,307.40,80091000
2022-08-02,294.00,307.83,292.67,300.59,300.59,95577600
2022-08-01,301.28,311.88,295.00,297.28,297.28,117042900
2022-07-29,280.70,298.32,279.10,297.15,297.15,95313000
2022-07-28,280.07,283.30,272.80,280.90,280.90,84723000
2022-07-27,263.81,275.93,261.79,274.82,274.82,88110000
2022-07-26,266.51,267.31,256.26,258.86,258.86,66820800
2022-07-25,272.22,274.15,267.40,268.43,268.43,64073400
2022-07-22,276.22,280.79,270.71,272.24,272.24,103472700
2022-07-21,255.11,273.27,254.87,271.71,271.71,142032300
2022-07-20,246.78,250.66,243.48,247.50,247.50,88864200
2022-07-19,245.00,247.14,236.98,245.53,245.53,80890200
2022-07-18,244.94,250.52,239.60,240.55,240.55,82537500
2022-07-15,240.00,243.62,236.89,240.07,240.07,69683100
2022-07-14,234.90,238.65,229.33,238.31,238.31,78557400
2022-07-13,225.50,242.06,225.03,237.04,237.04,97954500
2022-07-12,236.85,239.77,228.37,233.07,233.07,87930900
2022-07-11,252.10,253.06,233.63,234.34,234.34,99241200
2022-07-08,242.33,254.98,241.16,250.76,250.76,101854200
2022-07-07,233.92,245.36,232.21,244.54,244.54,81930600
