Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,5.70,5.71,5.40,5.49,5.49,277300
2022-11-22,5.53,5.78,5.42,5.74,5.74,234800
2022-11-21,5.82,5.95,5.30,5.32,5.32,249000
2022-11-18,5.65,5.95,5.37,5.93,5.93,306000
2022-11-17,5.65,5.67,5.35,5.61,5.61,225600
2022-11-16,5.97,6.08,5.57,5.65,5.65,271000
2022-11-15,6.33,6.50,6.02,6.05,6.05,191700
2022-11-14,6.01,6.27,5.70,6.24,6.24,285900
2022-11-11,5.66,6.02,5.50,6.00,6.00,350300
2022-11-10,5.49,5.66,5.22,5.45,5.45,478000
2022-11-09,5.95,5.95,5.01,5.18,5.18,463900
2022-11-08,5.71,5.92,5.37,5.92,5.92,353500
2022-11-07,6.25,6.30,5.77,5.79,5.79,375700
2022-11-04,6.34,6.39,6.04,6.25,6.25,229000
2022-11-03,6.27,6.62,6.17,6.45,6.45,133700
2022-11-02,6.90,6.90,6.31,6.45,6.45,148500
2022-11-01,7.08,7.34,6.61,6.62,6.62,95400
2022-10-31,6.75,7.03,6.62,7.00,7.00,180800
2022-10-28,6.84,7.02,6.54,6.75,6.75,137100
2022-10-27,7.34,7.35,6.70,6.76,6.76,193900
2022-10-26,6.95,7.31,6.91,7.26,7.26,574600
2022-10-25,6.94,7.21,6.92,6.95,6.95,142500
2022-10-24,6.98,7.08,6.77,6.85,6.85,136100
2022-10-21,7.14,7.20,6.80,6.82,6.82,203100
2022-10-20,7.21,7.45,6.98,6.98,6.98,203600
2022-10-19,7.50,7.58,7.15,7.28,7.28,167900
2022-10-18,7.65,7.84,7.35,7.40,7.40,183200
2022-10-17,7.36,7.65,7.31,7.41,7.41,181600
2022-10-14,7.00,7.50,6.73,7.17,7.17,346900
2022-10-13,6.00,6.42,5.64,6.37,6.37,312600
2022-10-12,6.09,6.29,5.90,6.12,6.12,131100
2022-10-11,6.40,6.48,6.08,6.15,6.15,161400
2022-10-10,7.00,7.13,6.31,6.37,6.37,237200
2022-10-07,7.63,7.67,7.00,7.09,7.09,204400
2022-10-06,8.01,8.22,7.68,7.71,7.71,114900
2022-10-05,8.06,8.23,7.76,8.08,8.08,89400
2022-10-04,8.12,8.25,7.90,8.16,8.16,116200
2022-10-03,7.96,8.06,7.80,7.81,7.81,98800
2022-09-30,7.67,8.25,7.67,7.88,7.88,304500
2022-09-29,8.03,8.03,7.55,7.67,7.67,414000
2022-09-28,7.83,8.19,7.83,8.14,8.14,141500
2022-09-27,8.05,8.14,7.82,7.97,7.97,99600
2022-09-26,7.87,8.26,7.85,7.90,7.90,131900
2022-09-23,8.20,8.20,7.70,7.89,7.89,327400
2022-09-22,8.91,8.94,8.32,8.37,8.37,190300
2022-09-21,8.85,9.08,8.78,8.83,8.83,130700
2022-09-20,9.01,9.24,8.80,8.88,8.88,176700
2022-09-19,9.42,9.42,9.03,9.24,9.24,110600
2022-09-16,8.78,9.60,8.69,9.45,9.45,309400
2022-09-15,9.00,9.50,8.92,8.97,8.97,214600
2022-09-14,8.82,9.29,8.71,9.04,9.04,197800
2022-09-13,8.78,8.90,8.55,8.78,8.78,142100
2022-09-12,8.72,9.18,8.65,9.17,9.17,167400
2022-09-09,8.52,8.76,8.51,8.68,8.68,108600
2022-09-08,8.78,8.81,8.35,8.52,8.52,178500
2022-09-07,8.48,8.94,8.48,8.79,8.79,177900
2022-09-06,8.44,8.48,8.15,8.19,8.19,187400
2022-09-02,8.75,8.77,8.37,8.47,8.47,144800
2022-09-01,8.87,8.87,8.56,8.68,8.68,162600
2022-08-31,8.81,9.00,8.67,8.88,8.88,140500
2022-08-30,8.98,9.15,8.76,8.81,8.81,102800
2022-08-29,8.90,9.19,8.90,8.99,8.99,115300
2022-08-26,9.50,9.52,8.95,8.95,8.95,157200
2022-08-25,9.47,9.80,9.37,9.55,9.55,195400
2022-08-24,8.98,9.53,8.98,9.50,9.50,160600
2022-08-23,8.63,9.07,8.63,8.95,8.95,150600
2022-08-22,9.00,9.00,8.63,8.72,8.72,193500
2022-08-19,9.50,9.50,9.06,9.08,9.08,183000
2022-08-18,9.21,9.62,9.11,9.52,9.52,176500
2022-08-17,9.65,9.69,9.15,9.27,9.27,161200
2022-08-16,9.86,9.95,9.59,9.72,9.72,230200
2022-08-15,10.26,10.42,9.62,10.00,10.00,410300
2022-08-12,9.56,10.19,9.44,10.11,10.11,369200
2022-08-11,9.61,9.78,9.27,9.44,9.44,279200
2022-08-10,9.16,9.54,9.10,9.39,9.39,357100
2022-08-09,9.39,9.39,8.25,8.43,8.43,443900
2022-08-08,10.00,10.21,9.58,9.58,9.58,329000
2022-08-05,9.81,10.00,9.55,9.78,9.78,208700
2022-08-04,9.30,9.81,9.20,9.70,9.70,262900
2022-08-03,8.90,9.38,8.83,9.34,9.34,169700
