Date,Open,High,Low,Close*,Adj Close**,Volume
2022-11-23,7.19,7.49,7.16,7.31,7.31,22699300
2022-11-22,7.08,7.18,6.93,7.03,7.03,20911600
2022-11-21,7.54,7.54,7.10,7.32,7.32,25768000
2022-11-18,7.89,8.22,7.62,7.76,7.76,26504900
2022-11-17,8.01,8.05,7.53,8.00,8.00,47052300
2022-11-16,8.67,8.80,7.83,8.03,8.03,41186200
2022-11-15,9.39,9.55,8.76,9.02,9.02,54165600
2022-11-14,9.04,9.16,8.25,8.64,8.64,56424500
2022-11-11,7.46,8.60,7.20,8.49,8.49,63298500
2022-11-10,7.45,7.50,6.95,7.04,7.04,37479000
2022-11-09,7.22,7.31,6.63,6.67,6.67,27736800
2022-11-08,7.71,7.96,7.38,7.82,7.82,23536100
2022-11-07,8.32,8.87,7.72,7.91,7.91,48472800
2022-11-04,8.03,8.24,7.65,7.88,7.88,60189700
2022-11-03,6.44,6.99,6.40,6.86,6.86,23702300
2022-11-02,6.50,6.97,6.18,6.60,6.60,49040500
2022-11-01,6.92,6.96,6.33,6.41,6.41,39135600
2022-10-31,6.56,6.85,6.47,6.62,6.62,27737800
2022-10-28,6.67,6.89,6.50,6.89,6.89,38054200
2022-10-27,7.83,7.88,7.28,7.36,7.36,30790800
2022-10-26,7.87,8.52,7.84,8.19,8.19,34677700
2022-10-25,7.35,7.99,7.27,7.94,7.94,33409400
2022-10-24,7.25,7.27,6.25,7.16,7.16,60411400
2022-10-21,7.80,8.21,7.61,8.13,8.13,21934400
2022-10-20,7.77,8.23,7.74,7.94,7.94,31671400
2022-10-19,8.11,8.12,7.51,7.67,7.67,34163300
2022-10-18,9.06,9.24,8.51,8.60,8.60,19094500
2022-10-17,8.72,8.84,8.46,8.62,8.62,16314500
2022-10-14,9.21,9.34,8.15,8.38,8.38,31221400
2022-10-13,8.90,9.30,8.52,9.13,9.13,25180500
2022-10-12,9.65,10.18,9.36,9.55,9.55,22799000
2022-10-11,9.47,10.06,9.19,9.41,9.41,30129500
2022-10-10,9.65,9.73,9.35,9.54,9.54,22884000
2022-10-07,10.30,10.44,9.86,9.89,9.89,22676900
2022-10-06,10.99,11.19,10.40,10.56,10.56,22461900
2022-10-05,11.53,11.55,10.67,10.99,10.99,38984800
2022-10-04,12.15,12.38,11.81,11.98,11.98,22802700
2022-10-03,11.87,11.93,11.42,11.73,11.73,22300300
2022-09-30,11.39,12.28,11.32,11.95,11.95,21193100
2022-09-29,12.55,12.85,11.85,12.11,12.11,33044800
2022-09-28,13.05,13.42,12.69,13.33,13.33,31799400
2022-09-27,14.58,14.80,13.58,13.71,13.71,21160800
2022-09-26,14.28,14.83,14.07,14.37,14.37,27891300
2022-09-23,13.09,13.89,12.86,13.71,13.71,28279600
2022-09-22,13.73,14.60,13.40,13.74,13.74,23489400
2022-09-21,15.46,15.49,13.92,14.09,14.09,41645500
2022-09-20,15.77,16.44,15.44,15.93,15.93,15856000
2022-09-19,14.30,15.73,14.29,15.64,15.64,18193100
2022-09-16,15.23,15.30,14.50,14.56,14.56,26605200
2022-09-15,15.67,16.20,15.40,15.51,15.51,15506300
2022-09-14,15.90,16.24,15.47,16.02,16.02,16809300
2022-09-13,15.79,16.56,15.68,16.14,16.14,20166700
2022-09-12,16.55,16.64,15.98,16.36,16.36,21170100
2022-09-09,16.26,16.56,16.00,16.03,16.03,12654200
2022-09-08,15.57,15.68,15.07,15.60,15.60,17709100
2022-09-07,15.75,16.53,15.63,16.00,16.00,14641500
2022-09-06,16.47,16.57,15.71,15.90,15.90,17911300
2022-09-02,16.98,17.14,16.61,16.74,16.74,12415200
2022-09-01,18.00,18.06,16.91,17.33,17.33,16912700
2022-08-31,18.74,19.12,18.10,18.52,18.52,12882900
2022-08-30,18.28,18.60,17.95,18.26,18.26,14484300
2022-08-29,18.65,19.20,18.33,18.51,18.51,9490400
2022-08-26,20.35,20.40,18.58,18.92,18.92,16062400
2022-08-25,19.37,19.93,18.59,19.44,19.44,19912500
2022-08-24,18.53,19.92,18.50,19.08,19.08,11497500
2022-08-23,19.82,19.86,18.18,18.73,18.73,28802200
2022-08-22,21.36,21.65,20.93,21.00,21.00,8727700
2022-08-19,21.75,21.76,21.12,21.24,21.24,6758900
2022-08-18,22.17,22.23,21.64,22.06,22.06,6875000
2022-08-17,22.70,23.09,22.30,22.37,22.37,6036200
2022-08-16,23.15,23.20,22.21,22.91,22.91,12868200
2022-08-15,23.42,23.61,22.64,23.50,23.50,14502900
2022-08-12,23.67,24.48,23.38,24.41,24.41,8128400
2022-08-11,23.58,25.91,23.21,24.61,24.61,19558500
2022-08-10,23.11,23.11,22.04,22.90,22.90,10014000
2022-08-09,23.32,23.71,22.14,22.69,22.69,10393200
2022-08-08,23.39,23.83,23.02,23.06,23.06,7216900
2022-08-05,23.64,23.90,22.96,23.33,23.33,6644800
2022-08-04,23.19,24.70,23.10,24.09,24.09,13135600
2022-08-03,23.60,23.70,22.03,22.99,22.99,20365100
2022-08-02,23.52,25.28,23.08,24.15,24.15,13410100
2022-08-01,24.96,25.17,24.11,24.47,24.47,13837700
2022-07-29,23.54,24.58,23.27,24.43,24.43,7608500
2022-07-28,24.45,24.96,23.67,24.27,24.27,7911700
2022-07-27,24.49,24.96,23.90,24.87,24.87,5758300
2022-07-26,24.99,25.61,24.01,24.39,24.39,8934200
2022-07-25,24.53,24.82,24.00,24.50,24.50,6952800
2022-07-22,26.45,26.78,24.36,24.92,24.92,13418900
2022-07-21,26.51,27.25,26.32,26.89,26.89,8031600
2022-07-20,26.60,27.46,26.46,26.74,26.74,8712600
2022-07-19,28.00,28.02,26.43,27.14,27.14,12437400
2022-07-18,28.95,29.34,28.08,28.20,28.20,14971900
2022-07-15,29.48,29.63,28.60,29.54,29.54,6392500
2022-07-14,29.96,30.44,29.15,29.96,29.96,6770600
2022-07-13,28.70,30.12,28.19,29.77,29.77,5555300
2022-07-12,28.92,29.68,28.51,29.23,29.23,5489700
2022-07-11,30.77,30.89,29.08,29.25,29.25,8929600
2022-07-08,31.80,32.75,31.30,32.13,32.13,6706400
2022-07-07,32.01,33.56,31.81,32.44,32.44,10046500
2022-07-06,31.59,31.93,30.15,30.74,30.74,7738800
